"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-10","Canada","2021A000011124","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062944","1.1.1.6.1.1","16811.3","","","","1"
"2025-10","Canada","2021A000011124","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062945","1.2.1.6.1.1","14903.1","","","","1"
"2025-10","Canada","2021A000011124","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062946","1.3.1.6.1.1","14033.7","","","","1"
"2025-10","Canada","2021A000011124","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062947","1.4.1.6.1.1","12532.6","","","","1"
"2025-10","Canada","2021A000011124","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062948","1.5.1.6.1.1","1501.1","","","","1"
"2025-10","Canada","2021A000011124","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062949","1.6.1.6.1.1","869.4","","","","1"
"2025-10","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2062950","1.7.1.6.1.1","5.8","","","","1"
"2025-10","Canada","2021A000011124","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2062951","1.8.1.6.1.1","88.6","","","","1"
"2025-10","Canada","2021A000011124","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2062952","1.9.1.6.1.1","83.5","","","","1"
"2025-10","Newfoundland and Labrador","2021A000210","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063133","2.1.1.6.1.1","196.3","","","","1"
"2025-10","Newfoundland and Labrador","2021A000210","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063134","2.2.1.6.1.1","168.7","","","","1"
"2025-10","Newfoundland and Labrador","2021A000210","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063135","2.3.1.6.1.1","155.2","","","","1"
"2025-10","Newfoundland and Labrador","2021A000210","Full-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063136","2.4.1.6.1.1","141.8","","","","1"
"2025-10","Newfoundland and Labrador","2021A000210","Part-time employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063137","2.5.1.6.1.1","13.4","","","","1"
"2025-10","Newfoundland and Labrador","2021A000210","Unemployment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063138","2.6.1.6.1.1","13.5","","","","1"
"2025-10","Newfoundland and Labrador","2021A000210","Unemployment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063139","2.7.1.6.1.1","8.0","","","","1"
"2025-10","Newfoundland and Labrador","2021A000210","Participation rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063140","2.8.1.6.1.1","85.9","","","","1"
"2025-10","Newfoundland and Labrador","2021A000210","Employment rate","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Percent","239","units","0","v2063141","2.9.1.6.1.1","79.1","","","","1"
"2025-10","Prince Edward Island","2021A000211","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063322","3.1.1.6.1.1","70.7","","","","1"
"2025-10","Prince Edward Island","2021A000211","Labour force","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063323","3.2.1.6.1.1","63.3","","","","1"
"2025-10","Prince Edward Island","2021A000211","Employment","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063324","3.3.1.6.1.1","59.2","","","","1"
